time,total_cpu_usage,cpu_package,gpu_temperature,gpu_core_load,framerate_displayed_avg,framerate_displayed_1percent_low,frame_time_displayed_1percent_high,game,hdr,scene_type,preset,run
13:37:2.440,29.5,41,85.4,99.0,74.0,69.8,17.46,BMW,Off,Benchmark,High,1
13:37:3.441,27.3,45,85.7,99.0,67.1,61.4,23.38,BMW,Off,Benchmark,High,1
13:37:4.446,30.6,41,85.3,99.0,69.4,65.3,16.35,BMW,Off,Benchmark,High,1
13:37:5.446,29.6,45,85.6,99.0,71.8,67.3,18.95,BMW,Off,Benchmark,High,1
13:37:6.441,26.3,40,85.6,99.0,70.8,65.2,16.9,BMW,Off,Benchmark,High,1
13:37:7.442,25.5,42,86.2,99.0,71.2,65.8,17.1,BMW,Off,Benchmark,High,1
13:37:8.452,27.4,41,85.7,99.0,73.9,67.8,15.67,BMW,Off,Benchmark,High,1
13:37:9.445,29.4,42,85.9,99.0,75.7,71.3,15.15,BMW,Off,Benchmark,High,1
13:37:10.440,27.9,44,86.5,99.0,77.0,70.0,15.27,BMW,Off,Benchmark,High,1
13:37:11.445,27.5,41,86.3,99.0,77.8,71.7,16.11,BMW,Off,Benchmark,High,1
13:37:12.440,27.9,44,86.8,99.0,78.3,71.2,14.76,BMW,Off,Benchmark,High,1
13:37:13.448,29.4,43,86.9,99.0,78.8,76.8,14.88,BMW,Off,Benchmark,High,1
13:37:14.442,28.0,42,86.8,99.0,79.6,72.8,15.17,BMW,Off,Benchmark,High,1
13:37:15.441,27.0,41,86.8,99.0,79.4,77.4,18.37,BMW,Off,Benchmark,High,1
13:37:16.443,28.7,42,86.9,99.0,78.6,75.1,14.88,BMW,Off,Benchmark,High,1
13:37:17.440,28.2,41,87.0,99.0,82.0,78.5,14.46,BMW,Off,Benchmark,High,1
13:37:18.442,28.8,42,86.9,99.0,82.5,77.2,13.68,BMW,Off,Benchmark,High,1
13:37:19.448,29.0,44,87.5,99.0,82.9,80.4,13.87,BMW,Off,Benchmark,High,1
13:37:20.443,26.7,41,87.4,99.0,79.5,75.8,14.52,BMW,Off,Benchmark,High,1
13:37:21.440,26.7,42,87.8,99.0,79.3,72.4,16.01,BMW,Off,Benchmark,High,1
13:37:22.444,28.1,40,88.2,99.0,78.6,75.0,14.9,BMW,Off,Benchmark,High,1
13:37:23.440,26.5,42,87.8,99.0,77.4,75.1,16.55,BMW,Off,Benchmark,High,1
13:37:24.443,27.4,40,87.7,99.0,78.6,69.5,14.35,BMW,Off,Benchmark,High,1
13:37:25.449,28.0,42,88.0,99.0,74.9,64.7,16.14,BMW,Off,Benchmark,High,1
13:37:26.441,26.4,39,88.0,99.0,75.2,68.8,15.86,BMW,Off,Benchmark,High,1
13:37:27.441,28.4,44,88.3,99.0,77.3,73.1,14.75,BMW,Off,Benchmark,High,1
13:37:28.440,29.3,43,88.3,99.0,72.5,70.5,16.54,BMW,Off,Benchmark,High,1
13:37:29.441,32.0,48,88.3,99.0,71.2,69.6,15.92,BMW,Off,Benchmark,High,1
13:37:30.440,32.7,48,88.5,99.0,71.2,69.5,16.54,BMW,Off,Benchmark,High,1
13:37:31.450,29.3,39,88.9,99.0,72.8,70.9,15.03,BMW,Off,Benchmark,High,1
13:37:32.448,29.2,41,88.5,99.0,72.1,66.6,15.62,BMW,Off,Benchmark,High,1
13:37:33.448,29.1,41,89.2,99.0,71.9,69.3,16.47,BMW,Off,Benchmark,High,1
13:37:34.439,28.6,43,88.9,99.0,72.2,66.5,16.39,BMW,Off,Benchmark,High,1
13:37:35.445,31.2,41,89.1,99.0,72.3,67.6,15.61,BMW,Off,Benchmark,High,1
13:37:36.450,29.0,39,89.3,99.0,71.7,67.5,16.21,BMW,Off,Benchmark,High,1
13:37:37.444,26.8,43,89.1,99.0,69.8,64.6,15.74,BMW,Off,Benchmark,High,1
13:37:38.442,28.5,45,89.3,99.0,69.7,67.8,16.35,BMW,Off,Benchmark,High,1
13:37:39.443,29.8,49,89.4,99.0,68.6,63.7,17.56,BMW,Off,Benchmark,High,1
13:37:40.440,28.3,39,89.7,99.0,69.8,67.4,15.95,BMW,Off,Benchmark,High,1
13:37:41.447,29.8,39,89.5,99.0,70.0,65.6,15.95,BMW,Off,Benchmark,High,1
13:37:42.443,28.8,39,89.7,99.0,67.6,64.2,16.8,BMW,Off,Benchmark,High,1
13:37:43.443,29.1,41,89.4,99.0,65.6,60.2,18.11,BMW,Off,Benchmark,High,1
13:37:44.442,30.5,41,89.6,99.0,65.6,60.2,18.11,BMW,Off,Benchmark,High,1
13:37:45.439,30.5,42,89.3,99.0,65.9,64.2,17.01,BMW,Off,Benchmark,High,1
13:37:46.442,27.9,43,89.8,99.0,66.2,61.7,17.5,BMW,Off,Benchmark,High,1
13:37:47.444,29.5,44,90.1,99.0,69.3,66.0,17.19,BMW,Off,Benchmark,High,1
13:37:48.442,30.4,42,89.3,99.0,70.1,68.3,15.95,BMW,Off,Benchmark,High,1
13:37:49.444,28.2,39,89.4,99.0,69.6,65.2,18.04,BMW,Off,Benchmark,High,1
13:37:50.441,28.8,41,89.4,99.0,69.0,67.3,16.96,BMW,Off,Benchmark,High,1
13:37:51.441,27.6,40,89.6,99.0,68.2,64.8,15.95,BMW,Off,Benchmark,High,1
13:37:52.443,26.7,40,89.7,99.0,65.6,63.2,16.94,BMW,Off,Benchmark,High,1
13:37:53.443,26.1,39,89.0,99.0,65.6,60.6,16.98,BMW,Off,Benchmark,High,1
13:37:54.446,29.4,41,89.4,99.0,66.3,63.9,18.94,BMW,Off,Benchmark,High,1
13:37:55.440,27.6,41,89.2,99.0,68.2,62.7,17.28,BMW,Off,Benchmark,High,1
13:37:56.445,28.2,44,89.9,99.0,71.2,67.5,15.7,BMW,Off,Benchmark,High,1
13:37:57.445,27.4,40,88.3,99.0,66.3,60.2,17.12,BMW,Off,Benchmark,High,1
13:37:58.440,25.3,41,89.1,99.0,62.6,58.7,18.1,BMW,Off,Benchmark,High,1
13:37:59.441,27.5,43,88.4,99.0,63.7,59.0,19.75,BMW,Off,Benchmark,High,1
13:38:0.445,26.2,39,89.4,99.0,60.3,56.8,18.37,BMW,Off,Benchmark,High,1
13:38:1.442,30.0,46,89.1,99.0,61.7,54.8,19.34,BMW,Off,Benchmark,High,1
13:39:14.850,25.3,44,87.0,99.0,74.5,70.3,15.69,BMW,Off,Benchmark,High,2
13:39:15.851,24.7,39,87.6,99.0,68.9,64.8,17.46,BMW,Off,Benchmark,High,2
13:39:16.850,26.6,40,88.0,99.0,68.8,66.1,16.67,BMW,Off,Benchmark,High,2
13:39:17.853,27.7,43,88.2,99.0,72.8,68.1,17.76,BMW,Off,Benchmark,High,2
13:39:18.848,28.7,44,88.0,99.0,71.5,69.8,18.01,BMW,Off,Benchmark,High,2
13:39:19.850,25.8,42,87.9,99.0,71.5,67.2,17.18,BMW,Off,Benchmark,High,2
13:39:20.850,25.0,40,88.3,99.0,73.4,70.1,15.26,BMW,Off,Benchmark,High,2
13:39:21.863,27.4,41,88.1,99.0,75.9,72.3,14.9,BMW,Off,Benchmark,High,2
13:39:22.865,27.4,42,88.4,99.0,77.4,74.3,14.19,BMW,Off,Benchmark,High,2
13:39:23.873,28.7,43,88.5,99.0,79.0,74.2,15.07,BMW,Off,Benchmark,High,2
13:39:24.871,27.0,42,88.5,99.0,79.1,75.9,14.29,BMW,Off,Benchmark,High,2
13:39:25.866,27.6,41,88.5,99.0,79.9,73.4,14.85,BMW,Off,Benchmark,High,2
13:39:26.864,28.2,40,88.6,99.0,80.4,72.9,13.88,BMW,Off,Benchmark,High,2
13:39:27.862,27.0,40,88.9,99.0,80.6,77.0,13.92,BMW,Off,Benchmark,High,2
13:39:28.863,29.5,41,88.9,99.0,79.3,72.3,14.31,BMW,Off,Benchmark,High,2
13:39:29.866,32.6,41,89.1,99.0,81.5,73.7,14.36,BMW,Off,Benchmark,High,2
13:39:30.869,29.7,40,88.8,99.0,82.8,79.2,13.72,BMW,Off,Benchmark,High,2
13:39:31.862,28.6,42,89.6,99.0,82.6,75.9,14.21,BMW,Off,Benchmark,High,2
13:39:32.868,27.0,41,89.3,99.0,81.0,75.8,14.26,BMW,Off,Benchmark,High,2
13:39:33.870,28.9,42,89.7,99.0,79.7,76.3,14.53,BMW,Off,Benchmark,High,2
13:39:34.865,26.5,39,88.7,99.0,78.8,76.1,14.14,BMW,Off,Benchmark,High,2
13:39:35.866,26.7,42,89.2,99.0,77.9,74.4,15.34,BMW,Off,Benchmark,High,2
13:39:36.871,26.3,42,89.9,99.0,79.5,75.1,14.91,BMW,Off,Benchmark,High,2
13:39:37.870,27.2,39,89.4,99.0,76.8,66.3,15.18,BMW,Off,Benchmark,High,2
13:39:38.864,28.4,48,90.1,99.0,75.6,70.8,16.16,BMW,Off,Benchmark,High,2
13:39:39.870,29.6,43,89.7,99.0,78.8,74.5,14.38,BMW,Off,Benchmark,High,2
